soc,onet_soc,occupation,skill,importance_1_to_5,rating_date,onet_version,source_url
11-2011,11-2011.00,Advertising and Promotions Managers,Social Perceptiveness,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Complex Problem Solving,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Coordination,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Reading Comprehension,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Writing,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Time Management,3.62,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Monitoring,3.5,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Active Learning,3.38,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Negotiation,3.38,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Persuasion,3.38,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Systems Analysis,3.38,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Systems Evaluation,3.38,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Management of Personnel Resources,3.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Instructing,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Learning Strategies,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Service Orientation,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Mathematics,2.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Operations Analysis,2.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Management of Financial Resources,2.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Management of Material Resources,2.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Quality Control Analysis,1.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Operations Monitoring,1.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Programming,1.62,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Technology Design,1.62,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Science,1.5,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Troubleshooting,1.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Equipment Maintenance,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Equipment Selection,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Installation,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Operation and Control,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2011,11-2011.00,Advertising and Promotions Managers,Repairing,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Active Listening,4.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Speaking,4.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Active Learning,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Complex Problem Solving,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Critical Thinking,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Judgment and Decision Making,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Monitoring,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Persuasion,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Reading Comprehension,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Systems Evaluation,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Coordination,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Negotiation,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Social Perceptiveness,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Time Management,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Learning Strategies,3.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Management of Personnel Resources,3.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Systems Analysis,3.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Writing,3.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Operations Analysis,3.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Instructing,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Mathematics,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Service Orientation,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Management of Financial Resources,2.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Management of Material Resources,2.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Operations Monitoring,1.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Quality Control Analysis,1.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Technology Design,1.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Programming,1.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Science,1.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Equipment Maintenance,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Equipment Selection,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Installation,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Operation and Control,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Repairing,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2021,11-2021.00,Marketing Managers,Troubleshooting,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Active Listening,4.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Negotiation,4.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Speaking,4.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Critical Thinking,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Judgment and Decision Making,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Management of Personnel Resources,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Monitoring,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Persuasion,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Reading Comprehension,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Social Perceptiveness,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Active Learning,3.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Complex Problem Solving,3.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Coordination,3.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Instructing,3.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Time Management,3.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Service Orientation,3.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Systems Analysis,3.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Systems Evaluation,3.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Writing,3.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Learning Strategies,3.12,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Management of Financial Resources,3.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Mathematics,3.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Management of Material Resources,2.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Operations Analysis,2.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Operation and Control,1.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Operations Monitoring,1.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Quality Control Analysis,1.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Programming,1.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Science,1.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Technology Design,1.5,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Equipment Maintenance,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Equipment Selection,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Installation,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Repairing,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2022,11-2022.00,Sales Managers,Troubleshooting,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Speaking,4.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Active Listening,4.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Reading Comprehension,4.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Social Perceptiveness,4.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Writing,4.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Complex Problem Solving,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Critical Thinking,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Persuasion,3.88,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Coordination,3.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Active Learning,3.62,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Judgment and Decision Making,3.62,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Service Orientation,3.62,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Time Management,3.62,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Monitoring,3.5,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Negotiation,3.5,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Systems Evaluation,3.25,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Instructing,3.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Systems Analysis,3.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Learning Strategies,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Management of Personnel Resources,3.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Management of Financial Resources,2.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Management of Material Resources,2.5,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Mathematics,2.38,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Operations Analysis,2.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Operation and Control,1.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Operations Monitoring,1.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Programming,1.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Technology Design,1.75,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Quality Control Analysis,1.38,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Science,1.12,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Equipment Maintenance,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Equipment Selection,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Installation,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Repairing,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2032,11-2032.00,Public Relations Managers,Troubleshooting,1.0,08/2026,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Critical Thinking,4.12,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Speaking,4.12,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Active Listening,4.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Persuasion,4.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Social Perceptiveness,4.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Reading Comprehension,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Writing,3.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Coordination,3.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Judgment and Decision Making,3.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Complex Problem Solving,3.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Time Management,3.5,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Active Learning,3.38,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Negotiation,3.38,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Service Orientation,3.38,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Management of Financial Resources,3.25,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Management of Personnel Resources,3.12,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Monitoring,3.12,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Systems Analysis,3.12,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Mathematics,3.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Systems Evaluation,3.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Instructing,2.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Learning Strategies,2.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Management of Material Resources,2.62,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Operations Analysis,2.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Programming,1.88,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Operations Monitoring,1.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Technology Design,1.75,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Quality Control Analysis,1.25,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Science,1.25,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Operation and Control,1.12,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Equipment Maintenance,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Equipment Selection,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Installation,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Repairing,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-2033,11-2033.00,Fundraising Managers,Troubleshooting,1.0,08/2025,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Active Listening,4.0,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Reading Comprehension,4.0,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Time Management,4.0,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Speaking,3.88,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Coordination,3.75,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Critical Thinking,3.75,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Writing,3.75,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Negotiation,3.62,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Management of Personnel Resources,3.38,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Monitoring,3.38,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Complex Problem Solving,3.25,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Judgment and Decision Making,3.25,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Service Orientation,3.25,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Social Perceptiveness,3.25,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Active Learning,3.12,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Systems Analysis,3.12,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Instructing,3.0,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Learning Strategies,3.0,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Persuasion,3.0,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Management of Financial Resources,2.88,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Management of Material Resources,2.88,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Operations Analysis,2.75,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Systems Evaluation,2.75,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Mathematics,2.25,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Operations Monitoring,2.25,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Quality Control Analysis,2.25,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Troubleshooting,1.88,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Operation and Control,1.62,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Technology Design,1.5,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Programming,1.38,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Equipment Selection,1.12,07/2017,31.0,https://www.onetcenter.org/database.html
11-3012,11-3012.00,Administrative Services Managers,Equipment Maintenance,1.0,07/2017,31.0,https://www.onetcenter.org/database.html
